K. Tidur,K. Mandi,L. Tanah,L. Bangunan,Tipe Properti,Sertifikat,price_juta,installment_juta,kecamatan,provinsi,Longitude,Latitude,num_facilities,outdoor_facilities,ac,security,laundry,park,published_date,num_char_desc,no_banjir,transportation
2.0,2.0,22.0,42.0,Rumah,SHM - Sertifikat Hak Milik,528.0,3.0,Tamansari,Jakarta Barat,106.8219204,-6.1568722,2,0,0,1,0,0,2022-10-08,795,0,1
3.0,3.0,52.0,71.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Pos Pengumben,Jakarta Barat,106.7621165,-6.2172003,2,0,1,1,0,0,2022-09-23,493,0,0
2.0,2.0,22.0,42.0,Rumah,SHM - Sertifikat Hak Milik,562.0,4.0,Tamansari,Jakarta Barat,106.8219204,-6.1568722,8,0,1,1,0,0,2022-10-06,357,0,1
,,,,Rumah,,528.0,3.0,Tamansari,Jakarta Barat,106.8219204,-6.1568722,2,0,0,1,0,0,2022-10-06,726,0,0
2.0,2.0,22.0,42.0,Rumah,SHM - Sertifikat Hak Milik,562.0,4.0,Tamansari,Jakarta Barat,106.8219204,-6.1568722,5,1,0,1,0,0,2022-10-06,434,1,0
2.0,2.0,23.0,44.0,Rumah,SHM - Sertifikat Hak Milik,553.0,3.0,Tamansari,Jakarta Barat,106.8219204,-6.1568722,1,0,0,0,0,0,2022-09-12,406,0,0
2.0,2.0,23.0,44.0,Rumah,SHM - Sertifikat Hak Milik,550.0,3.0,Mangga Besar,Jakarta Barat,106.8187154,-6.1455551,1,0,0,1,0,0,2022-10-06,983,0,1
,,23.0,44.0,Rumah,SHM - Sertifikat Hak Milik,500.0,3.0,Mangga Besar,Jakarta Barat,106.8187154,-6.1455551,1,0,0,0,0,0,2022-10-06,428,0,0
2.0,2.0,24.0,39.0,Rumah,SHM - Sertifikat Hak Milik,611.0,4.0,Mangga Besar,Jakarta Barat,106.8187154,-6.1455551,5,1,1,1,0,0,2022-10-05,441,0,0
3.0,1.0,27.0,45.0,Rumah,SHM - Sertifikat Hak Milik,750.0,5.0,Jelambar,Jakarta Barat,106.7799232,-6.1583086,1,0,0,0,0,0,2022-10-10,206,0,0
2.0,1.0,27.0,30.0,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",700.0,5.0,Jelambar,Jakarta Barat,106.7799232,-6.1583086,1,0,0,0,0,0,2022-10-10,586,0,1
2.0,1.0,27.0,30.0,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",700.0,5.0,Jelambar,Jakarta Barat,106.7799232,-6.1583086,1,0,0,0,0,0,2022-10-10,596,0,1
2.0,1.0,77.0,77.0,Rumah,SHM - Sertifikat Hak Milik,650.0,4.0,Taman Ratu,Jakarta Barat,106.76777084266409,-6.16697545,1,0,0,0,0,0,2022-10-10,161,0,0
1.0,1.0,33.0,30.0,Rumah,SHM - Sertifikat Hak Milik,350.0,2.0,Kedoya,Jakarta Barat,106.7603535,-6.180638,1,0,0,0,0,0,2022-10-09,119,1,0
3.0,2.0,60.0,65.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Bandara,Jakarta Barat,106.6954439,-6.1064087,8,1,0,1,1,0,2022-10-09,687,1,1
,,67.0,102.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Kebon Jeruk,Jakarta Barat,106.76972548969255,-6.19257205,1,0,0,0,0,0,2022-09-26,430,0,0
4.0,4.0,33.0,50.0,Rumah,SHM - Sertifikat Hak Milik,300.0,2.0,Kedoya,Jakarta Barat,106.7603535,-6.180638,1,0,0,0,0,0,2022-09-19,142,0,0
2.0,1.0,83.0,76.0,Rumah,HGB - Hak Guna Bangunan,795.0,5.0,Jelambar,Jakarta Barat,106.7799232,-6.1583086,1,0,0,0,0,0,2022-09-19,192,0,0
